"Nº de registo";"Data do registo";"Nome do Alojamento";"Imovél Posterior 1951";"Data Abertura Público";"Modalidade";"Nº Camas";"Nº Utentes";"Nº Quartos";"Nº Beliches";"Localização (Endereço)";"Localização (Código postal)";"Localização (Localidade)";"Localização (Freguesia)";"Localização (Concelho)";"Localização (Distrito)";"NUTT II";"Nome do Titular da Exploração";"Titular Qualidade";"Contribuinte";"Titular Tipo";"Titular País";"Contacto (Telefone)";"Contacto (Fax)";"Contacto (Telemovel)";"Estab.SAUDÁVEL&SEGURO"
"95856/AL";"2016-06-07";"Museum Studio";"N";"2016-04-20";"Apartamento";"4";"4";"0";;"Rua Rua Comandante Rodolfo de Araújo, 48 R/c Hab 1";"4000-414";"Porto";"Bonfim";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"38264/AL";"2016-12-31";"Coelho Neto";"N";"2017-07-01";"Apartamento";"3";"6";"2";;"Rua Rua Coelho Neto, 21 2";"4000-175";"Porto";"Bonfim";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Sim"
"38244/AL";"2016-12-30";"Picaria City Break Apartment ";"N";"2017-01-20";"Apartamento";"4";"6";"2";;"Rua Rua Picaria, 88 1";"4050-477";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Become My Guest Lda";"Arrendatário";"510459536";"Pessoa coletiva";"Portugal";"217960326";;"217960326";"Sim"
"38243/AL";"2016-12-30";"Oporto My Home";"S";"2016-12-30";"Apartamento";"3";"6";"2";;"Rua Rua Infanta Dona Maria, 39 5º Dto";"4050-350";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"38233/AL";"2016-12-30";"Koolhaas";"S";"2017-01-03";"Apartamento";"1";"2";"1";;"Rua Rua Nove de Julho, 40A 7º 1";"4050-433";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"38216/AL";"2016-12-30";"Porto Santo Isidro Guest House";"N";"2017-02-01";"Moradia";"2";"3";"2";;"Rua Rua Santo Isidro, 43";"4000-474";"Porto";"Bonfim";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"38212/AL";"2016-12-30";"Picaria 14";"S";"2016-12-30";"Apartamento";"1";"2";"1";;"Rua Rua Picaria, 14 3º Traseiras";"4050-477";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Comodatário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"38207/AL";"2016-12-30";"Picaria 14";"S";"2016-12-30";"Apartamento";"1";"2";"1";;"Rua Rua Picaria, 14 3º Frente";"4050-477";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Comodatário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"38198/AL";"2016-12-29";"Praça 184 Loft";"N";"2017-01-02";"Apartamento";"1";"2";"0";;"Praça Praça República, 184 2 FRT";"4050-498";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"38185/AL";"2016-12-29";"ARCO APARTMENTS (VANDOMA)";"S";"2016-12-01";"Apartamento";"2";"3";"0";;"Escadas Escadas Barredo, 139";"4050-092";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"FUTUROIDEAL- PROMOÇÃO IMOBILIÁRIA UNIPESSOAL, L.DA";"Proprietário";"506408086";"Pessoa coletiva";"Portugal";"253273645";;"967673304";"Sim"
"38181/AL";"2016-12-29";"ARCO APARTMENTS (SANTANA)";"S";"2016-12-01";"Apartamento";"2";"4";"1";;"Escadas Escadas Barredo, 135";"4050-092";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"FUTUROIDEAL- PROMOÇÃO IMOBILIÁRIA UNIPESSOAL, L.DA";"Proprietário";"506408086";"Pessoa coletiva";"Portugal";"253273645";;"967673304";"Sim"
"38176/AL";"2016-12-29";"ARCO APARTMENTS (SÃO SEBASTIÃO)";"S";"2016-12-01";"Apartamento";"2";"4";"1";;"Escadas Escadas Barredo, 125";"4050-092";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"FUTUROIDEAL- PROMOÇÃO IMOBILIÁRIA UNIPESSOAL, L.DA";"Proprietário";"506408086";"Pessoa coletiva";"Portugal";"253273645";;"967673304";"Sim"
"38172/AL";"2016-12-29";"ARCO APARTMENTS (MENTIRAS)";"S";"2016-12-01";"Apartamento";"4";"6";"2";;"Escadas Escadas Verdades, 17";"4050-622";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"FUTUROIDEAL- PROMOÇÃO IMOBILIÁRIA UNIPESSOAL, L.DA";"Proprietário";"506408086";"Pessoa coletiva";"Portugal";"253273645";;"967673304";"Sim"
"38168/AL";"2016-12-29";"Fancy loft";"N";"2016-12-29";"Apartamento";"2";"4";"0";;"Rua Rua Costa Cabral, 256 2º Fracção F";"4200-223";"Porto";"Paranhos";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"38127/AL";"2016-12-28";"Sta. Catarina House";"S";"2016-12-28";"Moradia";"5";"8";"3";;"Travessa Travessa Almas";"4000-068";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Comodatário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"38124/AL";"2016-12-28";"DECO GEM ALIADOS";"N";"2017-04-02";"Estabelecimento de hospedagem-Hostel";"2";"4";"2";"0";"Rua Rua Rodrigues Sampaio, 184 1º";"4000-424";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
