"Nº de registo";"Data do registo";"Nome do Alojamento";"Imovél Posterior 1951";"Data Abertura Público";"Modalidade";"Nº Camas";"Nº Utentes";"Nº Quartos";"Nº Beliches";"Localização (Endereço)";"Localização (Código postal)";"Localização (Localidade)";"Localização (Freguesia)";"Localização (Concelho)";"Localização (Distrito)";"NUTT II";"Nome do Titular da Exploração";"Titular Qualidade";"Contribuinte";"Titular Tipo";"Titular País";"Contacto (Telefone)";"Contacto (Fax)";"Contacto (Telemovel)";"Estab.SAUDÁVEL&SEGURO"
"7353/AL";"2013-12-10";"Ana Maria Ribeiro, Lda.";"N";"2013-12-05";"Estabelecimento de hospedagem";"0";"0";"0";;"Rua Conde Vizela, 62";"4050-639";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Ana Maria Ribeiro, Lda.";"Proprietário";"502653450";"Pessoa coletiva";"Portugal";;;"915439050";"Não"
"7334/AL";"2013-07-03";"José Manuel da Costa Faria";"N";"2013-07-03";"Apartamento";"0";"0";"0";;"Calçada Forno Velho, 5 3º";"4050-271";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"7330/AL";"2013-09-06";"Be In Oporto";"N";"2013-09-06";"Apartamento";"0";"0";"0";;"Rua Taipas, 73 3º frente";"4050-600";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Eduardo Brandão, Unipessoal, Lda.";"Arrendatário";"509740685";"Pessoa coletiva";"Portugal";;;"914207112";"Não"
"7293/AL";"2013-09-23";"Oporto Home Apartments";"N";"2013-09-16";"Apartamento";"2";"4";"1";;"1ª Rua Muro Bacalhoeiros, 152 2º dtº";"4050-080";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Notas Amenas - Apartamentos Turísticos, Lda";"Arrendatário";"515948110";"Pessoa coletiva";"Portugal";"939603770";;"933500130";"Sim"
"7250/AL";"2013-09-16";"Oporto Home Apartments";"N";"2013-09-16";"Apartamento";"2";"4";"1";;"1ª Rua Muro Bacalhoeiros, 152 2º Esqº";"4050-080";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Notas Amenas - Apartamentos Turísticos, Lda";"Arrendatário";"515948110";"Pessoa coletiva";"Portugal";"939603770";;"933500130";"Sim"
"7235/AL";"2013-01-07";"Sinais Nómadas";"N";"2013-01-07";"Apartamento";"0";"0";"0";;"Rua Santo Ildefonso, 371 3º r/c";"4000-466";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Sinais Nómadas Actividades Hoteleiras, Unipessoal ";"Arrendatário";"510026877";"Pessoa coletiva";"Portugal";;;"936399730";"Não"
"7233/AL";"2013-03-07";"Sinais Nómadas";"N";"2013-03-07";"Apartamento";"0";"0";"0";;"Rua Santo Ildefonso, 371 2º tras";"4000-466";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Sinais Nómadas Actividades Hoteleiras, Unipessoal ";"Arrendatário";"510026877";"Pessoa coletiva";"Portugal";;;"936399730";"Não"
"7224/AL";"2013-10-11";"Pleasant Porto  ";"N";"2013-10-11";"Apartamento";"0";"0";"0";;"Rua Alegria, 258 hab 304 fração L";"4000-034";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"7201/AL";"2013-10-03";"DOURO Apartments - Ribeira - Market";"N";"2013-10-03";"Apartamento";"2";"4";"1";;"Rua Ferreira Borges, 76 3º frente";"4050-252";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Coimbra dos Santos & Rocha, Lda";"Arrendatário";"510367992";"Pessoa coletiva";"Portugal";;;;"Não"
"7157/AL";"2013-06-26";"Fine Arts Gueshtouse";"N";"2013-06-26";"Moradia";"0";"0";"0";;"Rua Barão São Cosme, 53";"4000-502";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Pensemverso, Lda";"Arrendatário";"510100767";"Pessoa coletiva";"Portugal";"225371451";;"917227424";"Não"
