"Nº de registo";"Data do registo";"Nome do Alojamento";"Imovél Posterior 1951";"Data Abertura Público";"Modalidade";"Nº Camas";"Nº Utentes";"Nº Quartos";"Nº Beliches";"Localização (Endereço)";"Localização (Código postal)";"Localização (Localidade)";"Localização (Freguesia)";"Localização (Concelho)";"Localização (Distrito)";"NUTT II";"Nome do Titular da Exploração";"Titular Qualidade";"Contribuinte";"Titular Tipo";"Titular País";"Contacto (Telefone)";"Contacto (Fax)";"Contacto (Telemovel)";"Estab.SAUDÁVEL&SEGURO"
"90120/AL";"2018-12-29";"Bolhão Downtown";"S";"2019-01-30";"Apartamento";"1";"2";"0";;"Rua Rua Bolhão, 99 4º Tras.";"4000-112";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"90119/AL";"2018-12-29";"Mouzinho Place";"N";"2018-12-15";"Apartamento";"1";"2";"0";;"Rua Rua Mouzinho da Silveira, 200 2 DRT FRT";"4050-417";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"90118/AL";"2018-12-29";"Red Wine Apartment";"N";"2018-12-14";"Apartamento";"2";"3";"1";;"Rua Rua Mouzinho da Silveira, 200 2 ESQ";"4050-417";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"90117/AL";"2018-12-29";"T1 Marques Marinho";"N";"2019-03-01";"Moradia";"4";"4";"1";;"Rua Rua Marques Marinho, 47";"4050-355";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Arrendatário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"90116/AL";"2018-12-29";"BO Santos Pousada";"S";"2018-12-21";"Apartamento";"1";"2";"1";;"Rua Rua Santos Pousada, 547 2º 2.1";"4000-478";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Ideias e Estimativas Lda";"Arrendatário";"514535539";"Pessoa coletiva";"Portugal";;;"918694453";"Não"
"90105/AL";"2018-12-29";"Oporto Collection Santa Catarina";"S";"2020-12-24";"Apartamento";"1";"2";"0";;"Rua Rua Santa Catarina, 1219 2º 2I";"4000-457";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Temas Sólidos";"Arrendatário";"516142224";"Pessoa coletiva";"Portugal";;;"918694453";"Não"
"90104/AL";"2018-12-29";"Oporto Collection Santa Catarina";"S";"2020-12-24";"Apartamento";"1";"2";"0";;"Rua Rua Santa Catarina, 1219 1º 1F";"4000-457";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Temas Sólidos";"Arrendatário";"516142224";"Pessoa coletiva";"Portugal";;;"918694453";"Não"
"90103/AL";"2018-12-29";"BO Santos Pousada";"S";"2018-12-22";"Apartamento";"1";"2";"1";;"Rua Rua Santos Pousada, 547 2º 2.8";"4000-478";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Ideias e Estimativas Lda";"Arrendatário";"514535539";"Pessoa coletiva";"Portugal";;;"918694453";"Não"
"90073/AL";"2018-12-28";"BO Santos Pousada";"S";"2018-12-21";"Apartamento";"1";"2";"1";;"Rua Rua Santos Pousada, 547 1º 1.3";"4000-478";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Ideias e Estimativas Lda";"Arrendatário";"514535539";"Pessoa coletiva";"Portugal";;;"918694453";"Não"
"90072/AL";"2018-12-28";"YOUR OWM JARDIM";"N";"2018-12-18";"Apartamento";"1";"2";"1";;"Rua Rua Paraíso, 110 RC TRS";"4000-374";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Fator Abrangente, Lda.";"Arrendatário";"514967358";"Pessoa coletiva";"Portugal";;;;"Não"
"90071/AL";"2018-12-28";"YOUR OWM BONFIM";"S";"2018-12-18";"Apartamento";"1";"2";"1";;"Rua Rua Bonfim, 334 1º E";"4300-066";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Fator Abrangente, Lda.";"Arrendatário";"514967358";"Pessoa coletiva";"Portugal";;;;"Não"
"90070/AL";"2018-12-28";"Vista Boa";"S";"2018-12-12";"Apartamento";"3";"5";"2";;"Rua Rua Serpa Pinto, 73 5 Direito";"4050-585";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Prosperlegacy - Unipessoal, Lda.";"Comodatário";"514349271";"Pessoa coletiva";"Portugal";;;"932544445";"Não"
"90067/AL";"2018-12-28";"PORTO CITY CENTER FLORES";"N";"2019-01-15";"Apartamento";"2";"4";"1";;"Rua Rua Almada, 55 4.º Dto";"4050-036";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"LACUZON, LDA";"Proprietário";"514977035";"Pessoa coletiva";"Portugal";;;;"Não"
"90038/AL";"2018-12-27";"Oporto Luís Bridge Residence";"S";"2018-12-21";"Apartamento";"2";"4";"1";;"Rua Rua Alexandre Herculano, 352 5º 53";"4000-053";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"90035/AL";"2018-12-27";"Penguin Apartment";"S";"2018-12-16";"Apartamento";"7";"10";"4";;"Rua Rua Sacadura Cabral, 18 1 DIREITO";"4050-529";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Cubo Local, Lda";"Arrendatário";"515131733";"Pessoa coletiva";"Portugal";;;;"Não"
"90034/AL";"2018-12-27";"Royal Cats Apartment";"N";"2018-12-16";"Apartamento";"7";"10";"4";;"Avenida Avenida Rodrigues de Freitas, 91 2";"4000-420";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Cubo Local, Lda";"Arrendatário";"515131733";"Pessoa coletiva";"Portugal";;;"968334206";"Não"
"89993/AL";"2018-12-25";"Casa do Bolhão";"S";"2018-12-20";"Apartamento";"1";"2";"0";;"Rua Rua Bolhão, 37 2ºDto Traseiro";"4000-112";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Outro";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"89992/AL";"2018-12-25";"Joana Alves";"N";"2018-12-20";"Apartamento";"1";"2";"0";;"Rua Rua Picaria, 59 3 Traseiras";"4050-477";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Arrendatário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"89991/AL";"2018-12-25";"oporto chic & cozy";"S";"2018-12-11";"Estabelecimento de hospedagem";"10";"16";"8";;"Rua Rua Santa Catarina, 575";"4000-453";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Chic &Cozy Apartments, unipesoal Lda";"Arrendatário";"513238417";"Pessoa coletiva";"Portugal";;;"919310722";"Não"
"89989/AL";"2018-12-25";"Almada 2º Traz";"S";"2018-12-10";"Apartamento";"1";"2";"1";;"Rua Rua Almada, 598 2º TRAZ";"4050-034";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Bastos Morais & Portela Rodrigues, Lda";"Arrendatário";"513575375";"Pessoa coletiva";"Portugal";;;"936461850";"Não"
"89956/AL";"2018-12-22";"Alegria Residence - Penthouse";"S";"2018-12-20";"Apartamento";"2";"4";"1";;"Rua Rua Alegria, 215 4";"4000-043";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Parabola Decimal Unipessoal Lda";"Arrendatário";"514935871";"Pessoa coletiva";"Portugal";;;"938630970";"Sim"
"89955/AL";"2018-12-22";"Alegria Residence - Vintage";"S";"2018-12-20";"Apartamento";"3";"6";"2";;"Rua Rua Alegria, 215 3";"4000-043";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Parabola Decimal Unipessoal Lda";"Arrendatário";"514935871";"Pessoa coletiva";"Portugal";;;"938630970";"Sim"
"89954/AL";"2018-12-22";"Conde Ferreira 1º dto";"S";"2018-12-20";"Apartamento";"2";"6";"2";;"Rua Rua Conde Ferreira, 18 1 DT";"4300-195";"Porto";"Bonfim";"Porto";"Porto";"Norte";;"Comodatário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"89952/AL";"2018-12-22";"Almada 3 Traz";"S";"2018-12-08";"Apartamento";"1";"2";"1";;"Rua Rua Almada, 598 3º TRAZ";"4050-034";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Bastos Morais & Portela Rodrigues, Lda";"Arrendatário";"513575375";"Pessoa coletiva";"Portugal";;;"936461850";"Não"
"89951/AL";"2018-12-22";"Almada 3º Frente";"S";"2018-12-08";"Apartamento";"1";"2";"1";;"Rua Rua Almada, 598 3º Frente";"4050-034";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Bastos Morais & Portela Rodrigues, Lda";"Arrendatário";"513575375";"Pessoa coletiva";"Portugal";;;"936461850";"Não"
"89950/AL";"2018-12-22";"Quinta do Viso";"N";"2019-02-01";"Moradia";"1";"2";"0";;"Travessa do Viso, 145";"4250-498";"Porto";"Ramalde";"Porto";"Porto";"Norte";;"Comodatário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"89949/AL";"2018-12-22";"Fontainhas Flat";"S";"2019-01-01";"Apartamento";"1";"2";"0";;"Rua Rua Fontaínhas, 153 4 Direito Porto";"4000-239";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"89947/AL";"2018-12-22";"Terraço da Boavista";"S";"2018-12-21";"Apartamento";"2";"4";"1";;"Rua Rua Dom António Barroso, 123 3.º L";"4050-060";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Usufrutuário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Sim"
"89946/AL";"2018-12-22";"Almada 2ºFrente";"S";"2018-12-08";"Apartamento";"1";"2";"0";;"Rua Rua Almada, 598 2º Frente";"4050-034";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Bastos Morais & Portela Rodrigues, Lda";"Arrendatário";"513575375";"Pessoa coletiva";"Portugal";;;"936461850";"Não"
"89945/AL";"2018-12-22";"Casa Areias";"S";"2018-12-21";"Apartamento";"2";"4";"2";;"Rua Rua Areias, 264 R/CH Esq.º Tr.";"4300-035";"Porto";"Campanhã";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"89944/AL";"2018-12-22";"Garden House Hostel";"N";"2018-11-23";"Estabelecimento de hospedagem-Hostel";"54";"54";"11";"23";"Rua Rua Santa Catarina, 501";"4000-452";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Memórias Alfacinhas Unipessoal Lda";"Arrendatário";"509686109";"Pessoa coletiva";"Portugal";"222081426";;"965125543";"Não"
"89895/AL";"2018-12-21";"Casa de Lordelo";"S";"2018-12-13";"Moradia";"2";"4";"2";;"Rua Rua Senhor Boa Morte, 145";"4150-684";"Porto";"Lordelo do Ouro e Massarelos";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Alemanha";;;;"Não"
"89894/AL";"2018-12-21";"ROSA BRAGA APARTMENTS";"S";"2018-12-06";"Apartamento";"2";"4";"1";;"Rua Rua Bragas, 43/49 2º frt";"4050-122";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"89893/AL";"2018-12-21";"Camellia Loft";"S";"2018-12-20";"Apartamento";"1";"2";"0";;"Rua Rua Doutor Alves da Veiga, 81 R/Ch Frente";"4000-073";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"89862/AL";"2018-12-20";"Oporto Palace Apartments";"N";"2018-12-05";"Apartamento";"2";"4";"1";;"Rua Rua Torrinha, 223 3º";"4050-612";"Porto";"Lordelo do Ouro e Massarelos";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"89860/AL";"2018-12-20";"Oporto Palace Apartments";"N";"2018-12-05";"Apartamento";"2";"2";"0";;"Rua Rua Torrinha, 223 2º DTO";"4050-612";"Porto";"Lordelo do Ouro e Massarelos";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"89859/AL";"2018-12-20";"Oporto Palace Apartments";"N";"2018-12-05";"Apartamento";"2";"2";"0";;"Rua Rua Torrinha, 223 1º DTO";"4050-612";"Porto";"Lordelo do Ouro e Massarelos";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"89794/AL";"2018-12-19";"Riverside Luxury Apartment ";"S";"2018-12-20";"Apartamento";"2";"4";"1";;"Rua Rua Mercadores, 77 4";"4050-375";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Sim"
"89793/AL";"2018-12-19";"Virtudes Flat";"S";"2018-12-17";"Apartamento";"2";"4";"1";;"Passeio Passeio Virtudes, 7/8 6 Trás";"4050-629";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"89792/AL";"2018-12-19";"The Porto Way";"N";"2018-11-28";"Estabelecimento de hospedagem";"10";"10";"5";;"Rua Rua Santa Catarina, 31 e 33";"4000-449";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"89791/AL";"2018-12-19";"Porto Cathedral";"S";"2018-12-18";"Apartamento";"4";"6";"2";;"Rua Rua Sol, 19 3.º Dit.º Tr.";"4000-527";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Sim"
"89790/AL";"2018-12-19";"Straw Duplex";"S";"2018-12-05";"Apartamento";"1";"2";"0";;"Rua Rua Bragas, 326 2 FRT";;"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"89728/AL";"2018-12-15";"Violin Studio";"N";"2018-12-14";"Apartamento";"1";"2";"0";;"Rua Rua Doutor Alves da Veiga, 44 2 Esquerdo";"4000-071";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Comodatário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"89654/AL";"2018-12-13";"Oak Valley Flats Santa Catarina";"S";"2018-12-17";"Apartamento";"3";"6";"2";;"Rua Rua Santa Catarina, 1214 5 Direito";"4000-447";"Porto";"Bonfim";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"89653/AL";"2018-12-13";"The Crimson Apartment";"S";"2018-12-16";"Apartamento";"1";"2";"0";;"Rua Rua Santa Catarina, 818 3º Frente";"4000-446";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Maria Inês Simões de Campos Lda";"Arrendatário";"514702427";"Pessoa coletiva";"Portugal";;;"914878404";"Não"
"89650/AL";"2018-12-13";"VL Apartment";"S";"2018-12-26";"Apartamento";"3";"4";"1";;"Rua Rua Costa Cabral, 750 1.º Dt.º Frt.";"4200-213";"Porto";"Paranhos";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"89649/AL";"2018-12-13";"Lobioncine Mediação Imob";"N";"2018-12-01";"Apartamento";"1";"2";"0";;"Rua Rua Senhora Luz, 27 2 w";"4150-693";"Porto";"Aldoar, Foz do Douro e Nevogilde";"Porto";"Porto";"Norte";"Lobioncine Mediação Imobiliária Unip.Lda";"Arrendatário";"510860460";"Pessoa coletiva";"Portugal";;;"915771698";"Não"
"89648/AL";"2018-12-13";"Da Unique Boavista";"S";"2018-12-24";"Apartamento";"2";"3";"1";;"Praça Praça Mouzinho de Albuquerque , 91 1 D Praça Mouzinho de Albuquerque 91 1D";"4050-357";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Fortune Penguin Lda.";"Arrendatário";"514495600";"Pessoa coletiva";"Portugal";;;"911040332";"Não"
"89647/AL";"2018-12-13";"DA Cozy Boavista";"S";"2018-12-26";"Apartamento";"1";"2";"0";;"Praça Praça Mouzinho de Albuquerque, 91 2 Esq Praça Mouzinho de Albuquerque";"4050-357";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Fortune Penguin Lda.";"Arrendatário";"514495600";"Pessoa coletiva";"Portugal";;;"911040332";"Não"
"89645/AL";"2018-12-13";"Simply Oporto";"S";"2018-11-30";"Estabelecimento de hospedagem";"3";"6";"3";;"Rua Rua Saraiva de Carvalho, 27 1.";"4000-520";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Vitor M. Pinto Silva Unipessoal Lda";"Comodatário";"514337885";"Pessoa coletiva";"Portugal";;;"913003372";"Não"
"89643/AL";"2018-12-13";"Santa Catarina Central Deluxe";"N";"2018-11-30";"Apartamento";"4";"6";"2";;"Rua Rua Santa Catarina, 555 1 Esq.";"4000-453";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"89641/AL";"2018-12-13";"NINON Apartment";"S";"2018-12-06";"Apartamento";"3";"4";"1";;"Rua Rua Camões, 77 2 D";"4000-144";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"City Hosts, Lda";"Cessionário";"514132817";"Pessoa coletiva";"Portugal";;;"962385552";"Sim"
"89569/AL";"2018-12-12";"Music Flats I";"S";"2018-12-08";"Apartamento";"1";"2";"0";;"Rua Rua 5 de Outubro, 353 3 d";;"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Music Flats, Lda.";"Arrendatário";"515085200";"Pessoa coletiva";"Portugal";;;"917563952";"Não"
"89568/AL";"2018-12-12";"OportoBestView Top Flat";"N";"2018-12-01";"Apartamento";"1";"2";"0";;"Rua Rua Francisco da Rocha Soares, 37 3 Unico Rua Francisco da Rocha Soares, 37 - 3º Andar (unico apartamento por piso)";"4050-281";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Arrendatário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Sim"
"89567/AL";"2018-12-12";"ZERO";"N";"2018-11-16";"Estabelecimento de hospedagem-Hostel";"78";"156";"0";"0";"1ª Rua Rua do Ateneu Comercial do Porto, 13";"4000-092";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"HOTEL CÁPSULA LDA";"Arrendatário";"513671080";"Pessoa coletiva";"Portugal";;;"926492154";"Sim"
"89522/AL";"2018-12-11";"Barrels Loft";"S";"2018-11-30";"Apartamento";"1";"2";"0";;"Rua Rua Doutor Alves da Veiga, 205 R/C DF";"4000-074";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Outro";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"89521/AL";"2018-12-11";"Whity Apartment";"S";"2018-12-01";"Apartamento";"2";"4";"1";;"Rua Rua Bonfim, 336 1º D Traseiras Bonfim";;"Bonfim";"Bonfim";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"89483/AL";"2018-12-10";"Bolhão 424";"S";"2018-11-09";"Apartamento";"4";"4";"1";;"Rua Rua Fernandes Tomás, 424 5 2";;"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Sim"
"89448/AL";"2018-12-08";"Douro Sunset";"S";"2018-11-30";"Apartamento";"2";"4";"1";;"Rua Granja De Lordelo , 41 cave Porto";"4150-219";"Porto";"Lordelo do Ouro e Massarelos";"Porto";"Porto";"Norte";;"Outro";;"Pessoa singular (empresário em nome individual)";"Estados Unidos";;;;"Não"
"89446/AL";"2018-12-08";"FORMOSA APARTMENTS";"S";"2018-12-01";"Apartamento";"2";"4";"1";;"Praça Praça República, 189 3.º Frente Fração "H"";"4050-498";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"França";;;;"Não"
"89445/AL";"2018-12-08";"FORMOSA APARTMENTS";"S";"2018-12-01";"Apartamento";"2";"4";"1";;"Praça Praça República, 189 1.º tras. ";"4050-498";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"França";;;;"Não"
"89423/AL";"2018-12-08";"Bright Breyner Apartment";"S";"2018-12-03";"Apartamento";"2";"4";"1";;"Rua Rua Breiner, 195 1º tras. Rua do Breyner";"4050-126";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Cedilhas ao Luar, Lda";"Arrendatário";"514263970";"Pessoa coletiva";"Portugal";;;"932978487";"Não"
