"Nº de registo";"Data do registo";"Nome do Alojamento";"Imovél Posterior 1951";"Data Abertura Público";"Modalidade";"Nº Camas";"Nº Utentes";"Nº Quartos";"Nº Beliches";"Localização (Endereço)";"Localização (Código postal)";"Localização (Localidade)";"Localização (Freguesia)";"Localização (Concelho)";"Localização (Distrito)";"NUTT II";"Nome do Titular da Exploração";"Titular Qualidade";"Contribuinte";"Titular Tipo";"Titular País";"Contacto (Telefone)";"Contacto (Fax)";"Contacto (Telemovel)";"Estab.SAUDÁVEL&SEGURO"
"90131/AL";"2018-12-29";"Oporto Collection Santa Catarina";"S";"2020-12-24";"Apartamento";"1";"2";"0";;"Rua Rua Santa Catarina, 1219 3º 3H";"4000-457";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Temas Sólidos";"Arrendatário";"516142224";"Pessoa coletiva";"Portugal";;;"918694453";"Não"
"90130/AL";"2018-12-29";"Oporto Collection Santa Catarina";"S";"2020-12-24";"Apartamento";"1";"2";"0";;"Rua Rua Santa Catarina, 1219 3º 3L";"4000-457";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Temas Sólidos";"Arrendatário";"516142224";"Pessoa coletiva";"Portugal";;;"918694453";"Não"
"90129/AL";"2018-12-29";"Oporto Collection Santa Catarina";"S";"2020-12-24";"Apartamento";"1";"2";"1";;"Rua Rua Santa Catarina, 1219 2º 2H";"4000-457";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Temas Sólidos";"Arrendatário";"516142224";"Pessoa coletiva";"Portugal";;;"918694453";"Não"
"90128/AL";"2018-12-29";"Oporto Collection Santa Catarina";"S";"2020-12-24";"Apartamento";"1";"2";"1";;"Rua Rua Santa Catarina, 1219 2º 2G";"4000-457";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Temas Sólidos";"Arrendatário";"516142224";"Pessoa coletiva";"Portugal";;;"918694453";"Sim"
"90127/AL";"2018-12-29";"Oporto Collection Santa Catarina";"S";"2020-12-24";"Apartamento";"1";"2";"0";;"Rua Rua Santa Catarina, 1219 1º 1E";"4000-457";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Temas Sólidos";"Arrendatário";"516142224";"Pessoa coletiva";"Portugal";;;"918694453";"Não"
"90126/AL";"2018-12-29";"Oporto Collection Santa Catarina";"S";"2020-12-24";"Apartamento";"1";"2";"0";;"Rua Rua Santa Catarina, 1219 1º 1D";"4000-457";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Temas Sólidos";"Arrendatário";"516142224";"Pessoa coletiva";"Portugal";;;"918694453";"Não"
"90125/AL";"2018-12-29";"Oporto Collection Santa Catarina";"S";"2020-12-24";"Apartamento";"1";"2";"0";;"Rua Rua Santa Catarina, 1219 1º 1C";"4000-457";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Temas Sólidos";"Arrendatário";"516142224";"Pessoa coletiva";"Portugal";;;"918694453";"Não"
"90123/AL";"2018-12-29";"BO Santos Pousada";"S";"2018-12-22";"Apartamento";"1";"2";"1";;"Rua Rua Santos Pousada, 547 R/CH 0.2";"4000-478";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Ideias e Estimativas Lda";"Arrendatário";"514535539";"Pessoa coletiva";"Portugal";;;"918694453";"Não"
"90122/AL";"2018-12-29";"BO Santos Pousada";"S";"2018-12-22";"Apartamento";"1";"2";"1";;"Rua Rua Santos Pousada, 547 2º 2.5";"4000-478";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Ideias e Estimativas Lda";"Arrendatário";"514535539";"Pessoa coletiva";"Portugal";;;"918694453";"Não"
"90121/AL";"2018-12-29";"La Maison Aires_2";"S";"2018-12-13";"Apartamento";"1";"2";"1";;"Rua Rua Doutor Alberto Aires de Gouveia, 35 RC TRAZ";"4099-026";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Skin4you, Lda";"Arrendatário";"513810129";"Pessoa coletiva";"Portugal";;;"939713099";"Não"
