"Nº de registo";"Data do registo";"Nome do Alojamento";"Imovél Posterior 1951";"Data Abertura Público";"Modalidade";"Nº Camas";"Nº Utentes";"Nº Quartos";"Nº Beliches";"Localização (Endereço)";"Localização (Código postal)";"Localização (Localidade)";"Localização (Freguesia)";"Localização (Concelho)";"Localização (Distrito)";"NUTT II";"Nome do Titular da Exploração";"Titular Qualidade";"Contribuinte";"Titular Tipo";"Titular País";"Contacto (Telefone)";"Contacto (Fax)";"Contacto (Telemovel)";"Estab.SAUDÁVEL&SEGURO"
"76598/AL";"2009-09-07";"Guest House Douro";"N";"2009-08-12";"Estabelecimento de hospedagem";"18";"18";"9";;"Rua Rua Fonte Taurina, 99/101";"4050-270";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Ozia, Sociedade Hoteleira, Lda";"Proprietário";"507208277";"Pessoa coletiva";"Portugal";"222015135";"222015136";"962127645";"Sim"
"5530/AL";"2009-09-04";"Douro River Apartment";"S";"2009-09-04";"Apartamento";"2";"4";"1";;"Rua Mouzinho da Silveira, 8 3º Esq";"4050-419";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Estados Unidos";;;;"Sim"
"4554/AL";"2009-05-05";"THE YELLOW HOUSE";"N";"2018-03-15";"Estabelecimento de hospedagem-Hostel";"12";"18";"3";"3";"Rua João das Regras, 96";"4000-290";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"4541/AL";"2009-05-19";"Urban Garden Porto Central Hostel";"N";"2017-04-03";"Estabelecimento de hospedagem-Hostel";"38";"40";"2";"18";"Rua Firmeza, 363";"4000-225";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Itinerante Desfile Unipessoal Lda.";"Outro";"513870890";"Pessoa coletiva";"Portugal";"223324063";;;"Não"
"3856/AL";"2009-08-31";"Cocorico Guesthouse";"N";"2009-08-31";"Estabelecimento de hospedagem";"10";"16";"5";;"Rua Duque Loulé, 97";"4000-325";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"C La Luz";"Proprietário";"514231181";"Pessoa coletiva";"Portugal";"917510464";;"912775187";"Não"
