"Nº de registo";"Data do registo";"Nome do Alojamento";"Imovél Posterior 1951";"Data Abertura Público";"Modalidade";"Nº Camas";"Nº Utentes";"Nº Quartos";"Nº Beliches";"Localização (Endereço)";"Localização (Código postal)";"Localização (Localidade)";"Localização (Freguesia)";"Localização (Concelho)";"Localização (Distrito)";"NUTT II";"Nome do Titular da Exploração";"Titular Qualidade";"Contribuinte";"Titular Tipo";"Titular País";"Contacto (Telefone)";"Contacto (Fax)";"Contacto (Telemovel)";"Estab.SAUDÁVEL&SEGURO"
"89535/AL";"2012-01-31";"Hospedaria Mirante";"N";"2019-06-03";"Estabelecimento de hospedagem";"7";"14";"7";;"Rua Rua Mirante, 1A";"4050-389";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"MÁXIMO PARTIDO, LDA.";"Arrendatário";"509200567";"Pessoa coletiva";"Portugal";;;"919996300";"Não"
"80872/AL";"2012-10-16";"Casa da Belavista 2";"N";"2012-10-30";"Apartamento";"4";"4";"1";;"Calçada Calçada Serrubia, 2 - 4    ";"4150-709";"Porto";"Aldoar, Foz do Douro e Nevogilde";"Porto";"Porto";"Norte";;"Outro";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"7437/AL";"2012-10-18";"Coimbra dos Santos & Rocha";"S";"2012-10-18";"Apartamento";"2";"4";"1";;"Rua Reboleira, 19 2º tras Fração F";"4050-492";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Coimbra dos Santos & Rocha";"Arrendatário";"510367992";"Pessoa coletiva";"Portugal";;;"919684014";"Não"
"7052/AL";"2012-02-10";"Residencial Porto Novo";"N";"2012-02-10";"Estabelecimento de hospedagem";"0";"0";"17";;"Rua Alexandre Herculano, 185";"4000-054";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"ANTONIO SOARES & MARQUES,LDA";"Proprietário";"506376281";"Pessoa coletiva";"Portugal";;;"962458166";"Não"
"7013/AL";"2012-12-28";"Porta Azul Guesthouse";"N";"2012-12-28";"Moradia";"6";"10";"6";;"Rua Dom Manuel II, 204";"4050-343";"Porto";"Lordelo do Ouro e Massarelos";"Porto";"Porto";"Norte";"Genial & Liberal - Unipessoal Lda. ";"Arrendatário";"514698594";"Pessoa coletiva";"Portugal";"224037706";;"966415165";"Sim"
"6912/AL";"2012-12-18";"Oporto Gallery Apartment";"N";"2012-12-18";"Apartamento";"0";"0";"0";;"Rua Santa Teresa, 26 fração D";"4050-537";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Proturoporto, Lda";"Proprietário";"510275257";"Pessoa coletiva";"Portugal";;;"968481003";"Não"
"6891/AL";"2012-11-19";"Historical Porto Studios";"N";"2017-04-10";"Moradia";"6";"10";"6";;"Rua Taipas, 75";"4050-600";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Sim"
"6849/AL";"2012-12-07";"Oporto City Hostel";"N";"2012-12-07";"Estabelecimento de hospedagem";"0";"0";"0";;"Rua Guedes de Azevedo, 219";"4000-273";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Fast Turtle Unip. Lda.";"Proprietário";"510185134";"Pessoa coletiva";"Portugal";"222084452";"222084452";"918638740";"Não"
"6790/AL";"2012-05-29";"S. Francisco de Borja";"N";"2012-05-29";"Apartamento";"0";"0";"0";;"Rua Mercadores, 18 entrada 1 Fração B";"4050-373";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Sim"
"6637/AL";"2012-01-18";"Residencial Belo Sonho";"N";"2012-01-18";"Estabelecimento de hospedagem";"0";"0";"15";;"Rua Passos Manuel, 186";"4000-382";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Silva & Coelho Alves, L.da";"Arrendatário";"500874700";"Pessoa coletiva";"Portugal";"222003389";"222012850";"911197798";"Não"
