"Nº de registo";"Data do registo";"Nome do Alojamento";"Imovél Posterior 1951";"Data Abertura Público";"Modalidade";"Nº Camas";"Nº Utentes";"Nº Quartos";"Nº Beliches";"Localização (Endereço)";"Localização (Código postal)";"Localização (Localidade)";"Localização (Freguesia)";"Localização (Concelho)";"Localização (Distrito)";"NUTT II";"Nome do Titular da Exploração";"Titular Qualidade";"Contribuinte";"Titular Tipo";"Titular País";"Contacto (Telefone)";"Contacto (Fax)";"Contacto (Telemovel)";"Estab.SAUDÁVEL&SEGURO"
"975/AL";"2014-12-17";"bnapartments Lotfpuzzle";"S";"2014-12-17";"Apartamento";"2";"4";"0";;"Largo Lóios, 15 4.4";"4050-338";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"JGGApartments - Alojamentos Turísticos, Lda.";"Arrendatário";"510690777";"Pessoa coletiva";"Portugal";"917511612";;"917511612";"Não"
"956/AL";"2014-12-17";"bnapartments Loftpuzzle";"S";"2014-12-17";"Apartamento";"2";"2";"0";;"Largo Lóios, 15 1.1";"4050-338";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"JGGApartments - Alojamentos Turisticos, Lda. ";"Arrendatário";"510690777";"Pessoa coletiva";"Portugal";"917511612";;"917511612";"Não"
"9140/AL";"2014-08-06";"S. Francisco Borja";"N";"2014-08-06";"Apartamento";"0";"0";"0";;"Rua São Francisco de Borja, 14 "D"";"4050-550";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Sim"
"9121/AL";"2014-10-29";"José Faustino Ferreira Rodrigues";"N";"2014-10-29";"Estabelecimento de hospedagem";"0";"0";"6";;"Rua Faria Guimarães, 179";"4000-206";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Arrendatário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"887/AL";"2014-12-11";"BmyGuest Exclusive Studios 3B ";"N";"2014-12-11";"Apartamento";"3";"4";"2";;"Rua 31 de Janeiro, 170 3 Traz";"4000-542";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Become My Guest, Lda";"Arrendatário";"510459536";"Pessoa coletiva";"Portugal";;;"217960326";"Não"
"885/AL";"2014-12-11";"BmyGuest Exclusive Studios 2B ";"N";"2014-12-11";"Apartamento";"2";"3";"1";;"Rua 31 de Janeiro, 170 2 Traz";"4000-542";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Become My Guest, Lda";"Arrendatário";"510459536";"Pessoa coletiva";"Portugal";;;"217960326";"Não"
"867/AL";"2014-12-11";"BmyGuest Exclusive Studios 2A";"N";"2014-12-11";"Apartamento";"2";"3";"1";;"Rua 31 de Janeiro, 170 2 Frente";"4000-542";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Become My Guest, Lda";"Arrendatário";"510459536";"Pessoa coletiva";"Portugal";;;"217960326";"Não"
"8164/AL";"2014-10-03";"Porto Central flats II";"S";"2014-10-03";"Apartamento";"5";"6";"2";;"Rua Doutor Sousa Viterbo, 87 F. B";"4050-593";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Ribeira Vintage Apartments, Lda";"Arrendatário";"510421440";"Pessoa coletiva";"Portugal";"225089100";"225020683";"934810622";"Sim"
"8161/AL";"2014-10-03";"Porto Central flats II";"S";"2014-10-03";"Apartamento";"3";"4";"0";;"Rua Doutor Sousa Viterbo, 87 F.E";"4050-593";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Ribeira Vintage Apartments, Lda";"Arrendatário";"510421440";"Pessoa coletiva";"Portugal";"225089100";"225020683";"934810622";"Sim"
"8159/AL";"2014-10-01";"Porto Central flats II";"S";"2014-10-03";"Apartamento";"6";"7";"3";;"Rua Doutor Sousa Viterbo, 87 F.F";"4050-593";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Ribeira Vintage Apartments, Lda";"Arrendatário";"510421440";"Pessoa coletiva";"Portugal";"225089100";"225020683";"934810622";"Sim"
