"Nº de registo";"Data do registo";"Nome do Alojamento";"Imovél Posterior 1951";"Data Abertura Público";"Modalidade";"Nº Camas";"Nº Utentes";"Nº Quartos";"Nº Beliches";"Localização (Endereço)";"Localização (Código postal)";"Localização (Localidade)";"Localização (Freguesia)";"Localização (Concelho)";"Localização (Distrito)";"NUTT II";"Nome do Titular da Exploração";"Titular Qualidade";"Contribuinte";"Titular Tipo";"Titular País";"Contacto (Telefone)";"Contacto (Fax)";"Contacto (Telemovel)";"Estab.SAUDÁVEL&SEGURO"
"9862/AL";"2015-03-23";"Clérigos Ville Porto Rooms";"N";"2015-03-23";"Apartamento";"7";"8";"4";;"Rua Conde Vizela, 12 1.º Direito";"4050-639";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Arrendatário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Sim"
"9667/AL";"2015-03-20";"OPO.APT";"N";"2015-03-20";"Apartamento";"5";"6";"2";;"Praça Pedro Nunes, 114 R/C";"4050-466";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"JOÃO CASTRO FERREIRA - ARQUITECTOS, UNIPESSOAL LDA";"Arrendatário";"503057517";"Pessoa coletiva";"Portugal";;;"933106241";"Não"
"9594/AL";"2015-03-19";"Apartamento Majestic";"N";"2015-03-19";"Apartamento";"2";"3";"1";;"Rua Alegria, 129 R/C Esq.";"4000-042";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"9580/AL";"2015-03-19";"Casa 45";"S";"2015-03-20";"Estabelecimento de hospedagem";"7";"9";"5";;"Rua Pinheiro, 45";"4050-484";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Sim"
"9484/AL";"2015-03-18";"Cortinha da Paiva";"N";"2015-03-18";"Apartamento";"3";"3";"2";;"Travessa Antero de Quental, 32 R/C";"4000-086";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Cortinha da Paiva - Agricultura e Turismo, Lda";"Arrendatário";"513346350";"Pessoa coletiva";"Portugal";;;;"Não"
"9482/AL";"2015-03-18";"Curtinha da Paiva";"N";"2015-03-18";"Apartamento";"2";"2";"1";;"Rua Doutor Alfredo de Magalhães, 83 53º Dto. Tras.";"4000-063";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Cortinha da Paiva - Agricultura e Turismo, Lda.";"Arrendatário";"513346350";"Pessoa coletiva";"Portugal";;;;"Não"
"9049/AL";"2015-03-11";"Apartamento panorâmico - Centro do Porto";"N";"2015-03-11";"Apartamento";"1";"4";"1";;"Largo Lapa, 54 3.º Dto.";"4050-069";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"9022/AL";"2015-03-10";"Covelo 1";"N";"2015-03-10";"Apartamento";"4";"6";"3";;"Rua Lima Júnior, 73 1º Esq";"4200-367";"Porto";"Paranhos";"Porto";"Porto";"Norte";"Intuition Challenge Lda";"Arrendatário";"513385967";"Pessoa coletiva";"Portugal";;;"962990438";"Não"
"9020/AL";"2015-03-10";"Flat Alegria";"N";"2016-07-08";"Apartamento";"1";"2";"1";;"Rua Rua Alegria, 129 3º Fracção O";"4000-042";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"9016/AL";"2015-03-10";"Casa Andorinha";"N";"2015-03-10";"Apartamento";"3";"6";"2";;"Rua Pinheiro, 28 2.º";"4050-483";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Comodatário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
