"Nº de registo";"Data do registo";"Nome do Alojamento";"Imovél Posterior 1951";"Data Abertura Público";"Modalidade";"Nº Camas";"Nº Utentes";"Nº Quartos";"Nº Beliches";"Localização (Endereço)";"Localização (Código postal)";"Localização (Localidade)";"Localização (Freguesia)";"Localização (Concelho)";"Localização (Distrito)";"NUTT II";"Nome do Titular da Exploração";"Titular Qualidade";"Contribuinte";"Titular Tipo";"Titular País";"Contacto (Telefone)";"Contacto (Fax)";"Contacto (Telemovel)";"Estab.SAUDÁVEL&SEGURO"
"109650/AL";"2020-05-20";"Bombarda Gallery Yard";"S";"2020-06-01";"Apartamento";"2";"4";"1";;"Rua Rua Miguel Bombarda, 245 -1 B";"4050-381";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Sim"
"109621/AL";"2020-05-16";"Uma Apartments";"N";"2020-05-04";"Apartamento";"1";"2";"1";;"Rua Rua Formosa, 165 1º Frente";"4000-251";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Uma Formosa, Lda";"Arrendatário";"515860123";"Pessoa coletiva";"Portugal";;;"966323683";"Sim"
"109614/AL";"2020-05-16";"DISCOVER PORTO - Salgueiros";"S";"2020-05-01";"Apartamento";"6";"8";"4";;"Rua Rua Luís Woodhouse, 371 1 Esq";"4200-379";"Porto";"Paranhos";"Porto";"Porto";"Norte";"Intuition Challenge Lda";"Arrendatário";"513385967";"Pessoa coletiva";"Portugal";;;"962990438";"Não"
"109613/AL";"2020-05-16";"Uma Apartments";"N";"2020-05-04";"Apartamento";"1";"2";"1";;"Rua Rua Formosa, 165 3º Frente";"4000-251";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Uma Formosa, Lda";"Arrendatário";"515860123";"Pessoa coletiva";"Portugal";;;;"Não"
"109612/AL";"2020-05-16";"Uma Apartments";"N";"2020-05-04";"Apartamento";"1";"2";"1";;"Rua Rua Formosa, 165 2º Frente";"4000-251";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Uma Formosa, Lda";"Arrendatário";"515860123";"Pessoa coletiva";"Portugal";;;;"Não"
"109587/AL";"2020-05-14";"OPORTO GUEST Zambeze";"S";"2020-05-04";"Moradia";"4";"8";"3";;"Rua Rua Zambeze, 98";"4250-502";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"BLACKBLUE BONORUM, LDA";"Cessionário";"514564750";"Pessoa coletiva";"Portugal";;;"912140446";"Sim"
"109542/AL";"2020-05-08";"July9";"S";"2020-04-28";"Estabelecimento de hospedagem";"6";"8";"4";;"Rua Rua Nove de Julho, 130 2º Dto";"4050-435";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Cubo Local, Lda";"Arrendatário";"515131733";"Pessoa coletiva";"Portugal";"961724249";;"961724249";"Não"
"109488/AL";"2020-05-05";"Nomad's Fine Arts Collection - Private Terrace Porto";"S";"2020-04-30";"Apartamento";"2";"4";"2";;"Rua Rua Joaquim António de Aguiar, 182 Cave Tras";"4000-310";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Nomads Apartamentos Turísticos, Lda";"Cessionário";"514760826";"Pessoa coletiva";"Portugal";;;"918888480";"Não"
"109487/AL";"2020-05-05";"Sandra Claudia Pinto de Magalhães Bizarro";"S";"2020-04-01";"Apartamento";"2";"4";"1";;"Rua Rua Bonjardim, 668 1G";"4000-119";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"109486/AL";"2020-05-05";"Oportocityview Santo Ildefonso 7";"S";"2020-04-09";"Apartamento";"4";"5";"2";;"Rua Rua Santo Ildefonso, 436 3 tras";"4000-466";"Porto";"Bonfim";"Porto";"Porto";"Norte";"Lovely Resolution lda";"Outro";"515654655";"Pessoa coletiva";"Portugal";;;"916357207";"Não"
