"Nº de registo";"Data do registo";"Nome do Alojamento";"Imovél Posterior 1951";"Data Abertura Público";"Modalidade";"Nº Camas";"Nº Utentes";"Nº Quartos";"Nº Beliches";"Localização (Endereço)";"Localização (Código postal)";"Localização (Localidade)";"Localização (Freguesia)";"Localização (Concelho)";"Localização (Distrito)";"NUTT II";"Nome do Titular da Exploração";"Titular Qualidade";"Contribuinte";"Titular Tipo";"Titular País";"Contacto (Telefone)";"Contacto (Fax)";"Contacto (Telemovel)";"Estab.SAUDÁVEL&SEGURO"
"96063/AL";"2017-11-14";"Casa da Andorinha";"N";"2017-11-15";"Apartamento";"4";"4";"0";;"Rua Rua Alegria, 208 2º Tras";"4000-034";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"62129/AL";"2017-12-01";"Celso Santos";"S";"2017-12-01";"Estabelecimento de hospedagem";"2";"4";"2";;"Rua Rua São Dinis, 75 Porto";"4250-433";"Porto";"Paranhos";"Porto";"Porto";"Norte";;"Comodatário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"61617/AL";"2017-12-31";"731 Loft Bed Garden Apartment";"N";"2017-12-30";"Apartamento";"2";"4";"0";;"Rua Rua Costa Cabral, 731 RC Tras";"4200-224";"Porto";"Paranhos";"Porto";"Porto";"Norte";"Imodijo Gestão e Investimento Lda";"Arrendatário";"513490310";"Pessoa coletiva";"Portugal";;;;"Não"
"61612/AL";"2017-12-31";"Gorgeous Duplex Historical Center";"S";"2017-11-01";"Apartamento";"4";"6";"2";;"Rua Rua Dom João IV, 376 3 esq tras";"4000-298";"Porto";"Bonfim";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"61600/AL";"2017-12-30";"Paulo Cunha";"N";"2017-12-30";"Moradia";"1";"4";"1";;"1ª Rua Rua nº 1 do  Bairro Herculano, 21 Porto";"4000-284";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Moreira da Silva e Cunha Lda";"Proprietário";"513917713";"Pessoa coletiva";"Portugal";;;"917205301";"Não"
"61594/AL";"2017-12-30";"Apartemento";"S";"2018-01-01";"Apartamento";"1";"2";"1";;"Rua Rua Infanta Dona Maria, 17 9.1";"4050-350";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"61576/AL";"2017-12-29";"731 Pool House";"N";"2017-12-29";"Apartamento";"2";"4";"1";;"Rua Rua Costa Cabral, 731 RC Rec";"4200-224";"Porto";"Paranhos";"Porto";"Porto";"Norte";"Imodijo Gestão e Investimento Lda";"Arrendatário";"513490310";"Pessoa coletiva";"Portugal";;;;"Não"
"61553/AL";"2017-12-29";"São Bento II";"N";"2017-12-29";"Apartamento";"1";"2";"0";;"Rua Rua Flores, 328 2º";"4050-264";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Arrendatário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Sim"
"61539/AL";"2017-12-29";"casas de vilar";"N";"2018-01-01";"Apartamento";"2";"4";"1";;"Rua vilar, 139 2 Porto";"4050-626";"Porto";"Lordelo do Ouro e Massarelos";"Porto";"Porto";"Norte";"seara cardoso & gomes de sa";"Proprietário";"514666242";"Pessoa coletiva";"Portugal";"931967469";;"931967469";"Não"
"61537/AL";"2017-12-29";"Foz do Douro";"S";"2017-12-29";"Apartamento";"3";"4";"3";;"Rua Rua Aleixo, 259 L A.B H 1.4 Rua do Aleixo, nº259, LT A.B, Hab 1.4";"4150-043";"Porto";"Lordelo do Ouro e Massarelos";"Porto";"Porto";"Norte";;"Proprietário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
