"Nº de registo";"Data do registo";"Nome do Alojamento";"Imovél Posterior 1951";"Data Abertura Público";"Modalidade";"Nº Camas";"Nº Utentes";"Nº Quartos";"Nº Beliches";"Localização (Endereço)";"Localização (Código postal)";"Localização (Localidade)";"Localização (Freguesia)";"Localização (Concelho)";"Localização (Distrito)";"NUTT II";"Nome do Titular da Exploração";"Titular Qualidade";"Contribuinte";"Titular Tipo";"Titular País";"Contacto (Telefone)";"Contacto (Fax)";"Contacto (Telemovel)";"Estab.SAUDÁVEL&SEGURO"
"6588/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 5º direito";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6584/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 5º cent/dire";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6581/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 3º frente";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6579/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 2º cent/esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6576/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 3º esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6570/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 6º cent/dir";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6568/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 4º esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6563/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 2º cent/esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6561/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 2º cent/direi";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6559/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 4º cent/dir";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6556/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 1º frente";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6523/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 4º cen/dire";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6520/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 6º frente";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6518/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 1º  esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6513/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 7º BZ";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6510/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 7º esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6505/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 7º direito";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6502/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 7º cent/dir";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6499/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 6º esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6496/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 3º BE";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6494/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 4º cent/esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6491/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"2";"4";"1";;"Rua Dr. Emilio Peres, 74 3º direito";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6486/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 5º frente";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6455/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 5º esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6453/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 6º cent/esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6451/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 5º cent/esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6446/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 6º esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6443/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 4º cent/esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6442/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 2º frente";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6441/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 1º frente";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6440/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 4º frente";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6433/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 7º cent/dire";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6430/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 4º direito";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6429/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 5º cent/esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6428/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 6º direito";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6425/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 1º direito";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6421/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 1º  Cen/esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6411/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 6º direito";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6409/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 2º direito";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6406/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 1º direito";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6399/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 2º frente";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6395/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"2";"3";"0";;"Rua Dr. Emilio Peres, 74 2º esquerdo";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6392/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 4º frente";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6386/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 7º frente";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6385/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 1º direito";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6381/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 6º direito";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
