"Nº de registo";"Data do registo";"Nome do Alojamento";"Imovél Posterior 1951";"Data Abertura Público";"Modalidade";"Nº Camas";"Nº Utentes";"Nº Quartos";"Nº Beliches";"Localização (Endereço)";"Localização (Código postal)";"Localização (Localidade)";"Localização (Freguesia)";"Localização (Concelho)";"Localização (Distrito)";"NUTT II";"Nome do Titular da Exploração";"Titular Qualidade";"Contribuinte";"Titular Tipo";"Titular País";"Contacto (Telefone)";"Contacto (Fax)";"Contacto (Telemovel)";"Estab.SAUDÁVEL&SEGURO"
"82806/AL";"2011-07-25";"Hospedaria Praça da Alegria";"N";"1984-02-01";"Estabelecimento de hospedagem";"28";"28";"14";;"Praça Praça Alegria, 40";"4000-028";"Porto";"Bonfim";"Porto";"Porto";"Norte";"MONTES E VALES-CONST COMERCIO,SA";"Outro";"502285249";"Pessoa coletiva";"Portugal";"222081010";;"919407694";"Não"
"81104/AL";"2011-03-14";"Monte Sinai";"N";"1975-08-05";"Estabelecimento de hospedagem";"14";"14";"7";;"Rua Rua Alexandre Herculano, 144";"4000-051";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Nelson Lisboa, Lda";"Outro";"500876606";"Pessoa coletiva";"Portugal";"222008218";;"917015261";"Não"
"7316/AL";"2011-07-06";"Pinto Miranda & Miranda, Lda";"N";"2011-07-06";"Apartamento";"0";"0";"0";;"Avenida Boavista, 880";"4100-112";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Pinto Miranda & Miranda, Lda";"Proprietário";"501910549";"Pessoa coletiva";"Portugal";"226098376";;;"Não"
"6935/AL";"2011-06-01";"Maria de Fátima Fernandes Ferraz";"N";"2015-02-09";"Estabelecimento de hospedagem";"11";"20";"9";;"Rua Bonjardim, 392";"4000-116";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";;"Arrendatário";;"Pessoa singular (empresário em nome individual)";"Portugal";;;;"Não"
"6634/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 1º cent/esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6618/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 7º direito";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6616/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 3º cent/dire";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6615/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 1º cent/dir";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6608/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 4º esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6606/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 3º cen/esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6603/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 6º cen/esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6600/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 7º cen/esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6597/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 5º esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6595/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 2º cent/dir";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6592/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 5º cent/direi";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
"6590/AL";"2011-07-07";"Serviced Apartments - Boavista Palace";"S";"2011-07-07";"Apartamento";"3";"5";"2";;"Rua Dr. Emilio Peres, 74 3º esq";"4050-653";"Porto";"Cedofeita,Ildefonso,Sé,Miragaia,Nicolau,Vitória";"Porto";"Porto";"Norte";"Goldencrest - Investimentos Imobiliários, S.A.";"Arrendatário";"506347095";"Pessoa coletiva";"Portugal";"225076060";;;"Sim"
